actual	baseline	metrics	method	n	t
0.034	0.034	retention	Blosum62	500	0.980391263961792
1.0	0.5882352941176471	purity	Blosum62	500	0.980391263961792
1.0	0.3333333333333333	purity_90	Blosum62	500	0.980391263961792
0.6470588235294118	0.29411764705882354	consistency	Blosum62	500	0.980391263961792
0.014	0.014	retention	Default	500	0.17066740989685059
1.0	0.42857142857142855	purity	Default	500	0.17066740989685059
1.0	0.0	purity_90	Default	500	0.17066740989685059
1.0	0.42857142857142855	consistency	Default	500	0.17066740989685059
0.032	0.032	retention	Siamese	500	26.61271381378174
0.875	0.625	purity	Siamese	500	26.61271381378174
0.6666666666666666	0.16666666666666666	purity_90	Siamese	500	26.61271381378174
0.625	0.3125	consistency	Siamese	500	26.61271381378174
0.03	0.03	retention	Blosum62	600	1.3922874927520752
1.0	0.7222222222222222	purity	Blosum62	600	1.3922874927520752
1.0	0.5	purity_90	Blosum62	600	1.3922874927520752
0.6666666666666666	0.2777777777777778	consistency	Blosum62	600	1.3922874927520752
0.011666666666666667	0.011666666666666667	retention	Default	600	0.1616508960723877
1.0	0.5714285714285714	purity	Default	600	0.1616508960723877
1.0	0.3333333333333333	purity_90	Default	600	0.1616508960723877
1.0	0.5714285714285714	consistency	Default	600	0.1616508960723877
0.02666666666666667	0.02666666666666667	retention	Siamese	600	26.852200984954834
0.875	0.625	purity	Siamese	600	26.852200984954834
0.6666666666666666	0.16666666666666666	purity_90	Siamese	600	26.852200984954834
0.625	0.375	consistency	Siamese	600	26.852200984954834
0.04	0.04	retention	Blosum62	700	1.725661039352417
0.9642857142857143	0.6785714285714286	purity	Blosum62	700	1.725661039352417
0.9	0.5	purity_90	Blosum62	700	1.725661039352417
0.6071428571428571	0.2857142857142857	consistency	Blosum62	700	1.725661039352417
0.015714285714285715	0.015714285714285715	retention	Default	700	0.1751554012298584
1.0	0.6363636363636364	purity	Default	700	0.1751554012298584
1.0	0.2	purity_90	Default	700	0.1751554012298584
0.6363636363636364	0.45454545454545453	consistency	Default	700	0.1751554012298584
0.024285714285714285	0.024285714285714285	retention	Siamese	700	27.052475214004517
0.8823529411764706	0.5882352941176471	purity	Siamese	700	27.052475214004517
0.6666666666666666	0.16666666666666666	purity_90	Siamese	700	27.052475214004517
0.6470588235294118	0.4117647058823529	consistency	Siamese	700	27.052475214004517
0.05125	0.05125	retention	Blosum62	800	2.159327268600464
0.975609756097561	0.6097560975609756	purity	Blosum62	800	2.159327268600464
0.9285714285714286	0.14285714285714285	purity_90	Blosum62	800	2.159327268600464
0.4878048780487805	0.24390243902439024	consistency	Blosum62	800	2.159327268600464
0.03125	0.03125	retention	Default	800	0.2632460594177246
1.0	0.6	purity	Default	800	0.2632460594177246
1.0	0.2727272727272727	purity_90	Default	800	0.2632460594177246
0.44	0.2	consistency	Default	800	0.2632460594177246
0.03	0.03	retention	Siamese	800	27.785051107406616
0.9166666666666666	0.7916666666666666	purity	Siamese	800	27.785051107406616
0.7777777777777778	0.4444444444444444	purity_90	Siamese	800	27.785051107406616
0.5416666666666666	0.375	consistency	Siamese	800	27.785051107406616
0.04888888888888889	0.04888888888888889	retention	Blosum62	900	2.6685173511505127
0.9772727272727273	0.6363636363636364	purity	Blosum62	900	2.6685173511505127
0.9333333333333333	0.26666666666666666	purity_90	Blosum62	900	2.6685173511505127
0.45454545454545453	0.25	consistency	Blosum62	900	2.6685173511505127
0.03333333333333333	0.03333333333333333	retention	Default	900	0.27779531478881836
1.0	0.6333333333333333	purity	Default	900	0.27779531478881836
1.0	0.3076923076923077	purity_90	Default	900	0.27779531478881836
0.4	0.2	consistency	Default	900	0.27779531478881836
0.028888888888888888	0.028888888888888888	retention	Siamese	900	28.154571056365967
0.9230769230769231	0.6538461538461539	purity	Siamese	900	28.154571056365967
0.8	0.2	purity_90	Siamese	900	28.154571056365967
0.5	0.3076923076923077	consistency	Siamese	900	28.154571056365967
0.049	0.049	retention	Blosum62	1000	3.3016469478607178
0.9795918367346939	0.6122448979591837	purity	Blosum62	1000	3.3016469478607178
0.9411764705882353	0.23529411764705882	purity_90	Blosum62	1000	3.3016469478607178
0.42857142857142855	0.24489795918367346	consistency	Blosum62	1000	3.3016469478607178
0.031	0.031	retention	Default	1000	0.2832496166229248
1.0	0.6451612903225806	purity	Default	1000	0.2832496166229248
1.0	0.3076923076923077	purity_90	Default	1000	0.2832496166229248
0.3870967741935484	0.1935483870967742	consistency	Default	1000	0.2832496166229248
0.033	0.033	retention	Siamese	1000	28.718143939971924
0.9393939393939394	0.696969696969697	purity	Siamese	1000	28.718143939971924
0.8461538461538461	0.3076923076923077	purity_90	Siamese	1000	28.718143939971924
0.45454545454545453	0.2727272727272727	consistency	Siamese	1000	28.718143939971924
0.05090909090909091	0.05090909090909091	retention	Blosum62	1100	3.9799046516418457
0.9821428571428571	0.6071428571428571	purity	Blosum62	1100	3.9799046516418457
1.0	0.3333333333333333	purity_90	Blosum62	1100	3.9799046516418457
0.4642857142857143	0.17857142857142858	consistency	Blosum62	1100	3.9799046516418457
0.03090909090909091	0.03090909090909091	retention	Default	1100	0.3182816505432129
1.0	0.5882352941176471	purity	Default	1100	0.3182816505432129
1.0	0.21428571428571427	purity_90	Default	1100	0.3182816505432129
0.35294117647058826	0.17647058823529413	consistency	Default	1100	0.3182816505432129
0.035454545454545454	0.035454545454545454	retention	Siamese	1100	29.6492760181427
0.9230769230769231	0.6410256410256411	purity	Siamese	1100	29.6492760181427
