actual	baseline	metrics	method	n	t
0.004	0.004	retention	Blosum62	1000	3.120626449584961
1.0	1.0	purity	Blosum62	1000	3.120626449584961
1.0	1.0	purity_90	Blosum62	1000	3.120626449584961
1.0	1.0	consistency	Blosum62	1000	3.120626449584961
0.002	0.002	retention	Default	1000	0.1681530475616455
1.0	1.0	purity	Default	1000	0.1681530475616455
1.0	1.0	purity_90	Default	1000	0.1681530475616455
1.0	1.0	consistency	Default	1000	0.1681530475616455
0.002	0.002	retention	Siamese	1000	27.89292049407959
1.0	1.0	purity	Siamese	1000	27.89292049407959
1.0	1.0	purity_90	Siamese	1000	27.89292049407959
1.0	1.0	consistency	Siamese	1000	27.89292049407959
0.006	0.006	retention	Blosum62	2000	11.924515724182129
1.0	0.5833333333333334	purity	Blosum62	2000	11.924515724182129
1.0	0.16666666666666666	purity_90	Blosum62	2000	11.924515724182129
0.8333333333333334	0.5	consistency	Blosum62	2000	11.924515724182129
0.003	0.003	retention	Default	2000	0.24622416496276855
1.0	0.5	purity	Default	2000	0.24622416496276855
1.0	0.0	purity_90	Default	2000	0.24622416496276855
1.0	0.5	consistency	Default	2000	0.24622416496276855
0.004	0.004	retention	Siamese	2000	30.841658115386963
0.75	0.625	purity	Siamese	2000	30.841658115386963
0.5	0.25	purity_90	Siamese	2000	30.841658115386963
0.5	0.625	consistency	Siamese	2000	30.841658115386963
0.009333333333333334	0.009333333333333334	retention	Blosum62	3000	26.730481147766113
0.8571428571428571	0.5357142857142857	purity	Blosum62	3000	26.730481147766113
0.6923076923076923	0.07692307692307693	purity_90	Blosum62	3000	26.730481147766113
0.6785714285714286	0.39285714285714285	consistency	Blosum62	3000	26.730481147766113
0.0033333333333333335	0.0033333333333333335	retention	Default	3000	0.3313016891479492
1.0	0.5	purity	Default	3000	0.3313016891479492
1.0	0.0	purity_90	Default	3000	0.3313016891479492
0.8	0.4	consistency	Default	3000	0.3313016891479492
0.006	0.006	retention	Siamese	3000	35.62708878517151
0.6666666666666666	0.6666666666666666	purity	Siamese	3000	35.62708878517151
0.3333333333333333	0.3333333333333333	purity_90	Siamese	3000	35.62708878517151
0.4444444444444444	0.4444444444444444	consistency	Siamese	3000	35.62708878517151
0.012	0.012	retention	Blosum62	4000	47.28363490104675
0.8958333333333334	0.5208333333333334	purity	Blosum62	4000	47.28363490104675
0.7619047619047619	0.14285714285714285	purity_90	Blosum62	4000	47.28363490104675
0.5625	0.3333333333333333	consistency	Blosum62	4000	47.28363490104675
0.0055	0.0055	retention	Default	4000	0.478435754776001
1.0	0.5909090909090909	purity	Default	4000	0.478435754776001
1.0	0.1	purity_90	Default	4000	0.478435754776001
0.8181818181818182	0.45454545454545453	consistency	Default	4000	0.478435754776001
0.008	0.008	retention	Siamese	4000	38.88340759277344
0.65625	0.65625	purity	Siamese	4000	38.88340759277344
0.3125	0.3125	purity_90	Siamese	4000	38.88340759277344
0.375	0.34375	consistency	Siamese	4000	38.88340759277344
0.0132	0.0132	retention	Blosum62	5000	72.99146747589111
0.8787878787878788	0.5	purity	Blosum62	5000	72.99146747589111
0.7241379310344828	0.06896551724137931	purity_90	Blosum62	5000	72.99146747589111
0.5	0.2727272727272727	consistency	Blosum62	5000	72.99146747589111
0.0064	0.0064	retention	Default	5000	0.5795271396636963
0.9375	0.5625	purity	Default	5000	0.5795271396636963
0.8666666666666667	0.13333333333333333	purity_90	Default	5000	0.5795271396636963
0.75	0.40625	consistency	Default	5000	0.5795271396636963
0.0084	0.0084	retention	Siamese	5000	43.2273633480072
0.6904761904761905	0.7142857142857143	purity	Siamese	5000	43.2273633480072
0.38095238095238093	0.42857142857142855	purity_90	Siamese	5000	43.2273633480072
0.30952380952380953	0.2857142857142857	consistency	Siamese	5000	43.2273633480072
0.013	0.013	retention	Blosum62	6000	105.22081542015076
0.8846153846153846	0.5128205128205128	purity	Blosum62	6000	105.22081542015076
0.7428571428571429	0.08571428571428572	purity_90	Blosum62	6000	105.22081542015076
0.48717948717948717	0.2692307692307692	consistency	Blosum62	6000	105.22081542015076
0.005666666666666667	0.005666666666666667	retention	Default	6000	0.6525940895080566
0.9411764705882353	0.5294117647058824	purity	Default	6000	0.6525940895080566
0.875	0.0625	purity_90	Default	6000	0.6525940895080566
0.7647058823529411	0.35294117647058826	consistency	Default	6000	0.6525940895080566
0.008	0.008	retention	Siamese	6000	47.172956228256226
0.6875	0.6666666666666666	purity	Siamese	6000	47.172956228256226
0.375	0.3333333333333333	purity_90	Siamese	6000	47.172956228256226
0.2916666666666667	0.2916666666666667	consistency	Siamese	6000	47.172956228256226
0.013285714285714286	0.013285714285714286	retention	Blosum62	7000	144.57337713241577
0.8817204301075269	0.5053763440860215	purity	Blosum62	7000	144.57337713241577
0.7560975609756098	0.04878048780487805	purity_90	Blosum62	7000	144.57337713241577
0.4838709677419355	0.24731182795698925	consistency	Blosum62	7000	144.57337713241577
0.005571428571428572	0.005571428571428572	retention	Default	7000	0.7531933784484863
0.9487179487179487	0.46153846153846156	purity	Default	7000	0.7531933784484863
0.8888888888888888	0.0	purity_90	Default	7000	0.7531933784484863
0.7948717948717948	0.358974358974359	consistency	Default	7000	0.7531933784484863
0.010285714285714285	0.010285714285714285	retention	Siamese	7000	52.464035749435425
0.7083333333333334	0.7361111111111112	purity	Siamese	7000	52.464035749435425
0.4166666666666667	0.4722222222222222	purity_90	Siamese	7000	52.464035749435425
0.2222222222222222	0.2222222222222222	consistency	Siamese	7000	52.464035749435425
0.014125	0.014125	retention	Blosum62	8000	188.67397546768188
0.8938053097345132	0.49557522123893805	purity	Blosum62	8000	188.67397546768188
0.7755102040816326	0.061224489795918366	purity_90	Blosum62	8000	188.67397546768188
0.4247787610619469	0.23008849557522124	consistency	Blosum62	8000	188.67397546768188
0.00575	0.00575	retention	Default	8000	0.9238409996032715
0.9565217391304348	0.5434782608695652	purity	Default	8000	0.9238409996032715
0.9047619047619048	0.14285714285714285	purity_90	Default	8000	0.9238409996032715
0.717391304347826	0.391304347826087	consistency	Default	8000	0.9238409996032715
0.013625	0.013625	retention	Siamese	8000	57.88559150695801
0.7247706422018348	0.7155963302752294	purity	Siamese	8000	57.88559150695801
0.4444444444444444	0.42592592592592593	purity_90	Siamese	8000	57.88559150695801
0.1743119266055046	0.1926605504587156	consistency	Siamese	8000	57.88559150695801
